lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	81.6	85.2	82.3	74.6	76.6	66.1	79.0	NA
en-de	79.5	82.5	78.5	76.0	77.3	71.3	80.9	NA
en-fi	80.0	82.9	79.7	77.4	80.0	NA	82.6	NA
en-fr	81.4	85.7	78.4	76.0	78.1	71.0	82.2	NA
en-lt	50.2	48.5	66.1	51.7	47.1	NA	45.6	NA
en-ro	81.1	86.6	78.5	78.2	78.0	70.3	82.0	NA
en-ta	NA	NA	53.5	47.6	39.9	33.0	39.9	NA
cs-en	84.6	84.4	83.2	78.8	80.1	NA	83.0	NA
fr-en	84.0	86.4	82.1	80.3	81.9	NA	85.9	NA
lt-en	71.7	70.9	69.2	60.1	63.0	NA	65.3	NA
ro-en	83.5	85.5	81.5	81.0	81.4	NA	85.4	NA
mean	77.8	79.9	75.7	71.1	71.2	62.3	73.8	NA
