modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-cs	41.4	79.8	59.8	82.8	78.4	90.0	83.4	52.2
xglm-label-trim	en-cs	76.8	90.6	56.6	89.2	84.8	97.4	94.0	58.4
xglm-keywords10-seen500-trim	en-cs	89.4	95.2	76.2	87.6	93.4	97.0	97.0	NA
xglm-topic3shot-seen500-trim	en-cs	96.0	98.2	92.0	92.0	94.8	98.2	97.6	NA
xglm-rand-label-trim	en-cs	72.2	90.4	64.2	88.2	84.2	97.8	94.0	63.0
verbose-base-trim	en-cs	94.8	98.6	89.6	93.0	96.0	97.8	98.2	88.6
xglm-keywords30-seen500-trim	en-cs	88.6	97.2	78.2	87.4	92.8	97.0	96.2	NA
xglm-rand-keywords10-seen500-trim	en-cs	85.0	95.8	71.8	92.4	92.2	97.6	97.0	NA
xglm-rand-keywords10-seen-all-trim	en-cs	83.0	95.2	75.8	90.4	94.0	98.4	97.0	NA
xglm-rand-topic3shot-seen500-trim	en-cs	96.0	98.2	92.0	92.0	94.8	98.2	97.6	NA
xglm-rand-3shot-seen-all-trim	en-cs	83.4	91.6	73.6	84.2	88.8	93.8	90.2	NA
xglm-bm25-3shot-seen-all-trim	en-cs	75.2	86.6	68.6	69.4	78.0	89.0	76.2	NA
xglm-sentsim-3shot-seen-all-trim	en-cs	70.6	87.2	72.4	78.4	85.0	91.4	84.6	NA
xglm-topic1shot-seen500-trim	en-cs	92.2	98.0	88.2	88.8	92.2	96.4	96.0	NA
xglm-topic5shot-seen500-trim	en-cs	96.4	98.8	91.6	93.4	96.0	98.4	97.6	NA
xglm-topic3shot-seen200-trim	en-cs	95.0	95.6	89.4	92.6	94.6	99.0	98.6	86.4
xglm-topic3shot-seen1000-trim	en-cs	95.2	98.6	90.8	92.6	94.6	98.6	97.6	NA
xglm-bm25-3shot-langs-trim	en-cs	97.8	98.8	94.4	92.8	97.6	99.4	99.2	NA
xglm-sentsim-3shot-langs-trim	en-cs	97.8	99.0	94.8	95.4	97.2	98.4	99.4	NA
xglm-topic3shot-lang500-trim	en-cs	97.4	99.2	91.6	93.8	96.8	98.6	98.4	NA
xglm-topic3shot-domain200-trim	en-cs	94.2	98.6	92.0	93.8	94.2	98.2	98.2	NA
xglm-domain3shot-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-cs	97.0	98.8	92.4	93.8	96.6	98.4	99.0	NA
xglm-rand-topic3shot-seen200-trim	en-cs	96.6	98.2	88.8	92.2	95.6	99.6	97.8	87.0
