lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	73.8	78.6	66.1	64.4	69.1	64.3	73.3	68.1
en-de	72.2	75.2	65.8	67.8	70.8	67.3	75.1	75.1
en-fi	74.1	75.6	64.9	68.2	72.5	NA	76.1	69.2
en-fr	72.9	77.8	66.9	66.1	70.2	67.3	74.8	74.2
en-lt	46.6	43.1	53.1	47.2	44.0	NA	43.4	51.1
en-ro	73.9	80.1	63.5	68.1	71.7	66.9	77.1	70.5
en-ta	NA	NA	43.7	43.3	37.0	33.4	38.5	39.6
cs-en	68.0	70.2	61.6	63.7	65.6	59.8	68.0	NA
fr-en	74.4	78.6	67.4	68.8	72.4	68.0	76.5	NA
lt-en	61.7	64.0	52.9	53.4	57.5	NA	59.9	NA
ro-en	74.9	78.7	62.9	69.6	73.0	63.1	77.4	NA
mean	69.2	72.2	60.8	61.9	64.0	61.3	67.3	64.0
