lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	21.3	29.2	17.6	8.5	16.7	23.8	17.1	22.6
en-de	27.6	42.2	27.3	15.7	19.9	32.9	22.1	26.3
en-fi	21.6	21.7	13.3	8.5	14.3	NA	15.2	25.7
en-fr	31.4	40.0	28.8	12.7	24.7	37.6	25.4	26.8
en-lt	20.1	34.0	12.1	11.7	25.3	NA	23.8	20.9
en-ro	21.3	29.0	11.6	8.5	14.8	20.4	16.6	23.4
en-ta	NA	NA	11.1	12.4	24.0	22.1	20.2	20.2
cs-en	24.8	40.1	NA	9.1	15.7	NA	18.3	NA
fr-en	26.6	42.7	26.2	11.1	19.4	NA	20.2	NA
lt-en	24.8	41.1	21.0	11.4	19.7	NA	20.4	NA
ro-en	25.0	41.8	20.5	11.3	16.7	NA	18.1	NA
mean	24.5	36.2	18.9	11.0	19.2	27.4	19.8	23.7
