lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	79.2	83.6	46.8	82.8	87.2	84.6	95.2	NA
en-de	72.6	71.0	55.0	94.4	90.0	80.2	97.0	NA
en-fi	72.0	75.8	35.4	88.2	83.8	NA	95.8	NA
en-fr	72.0	60.4	39.2	89.4	81.2	61.8	95.2	NA
en-lt	73.2	79.2	51.4	86.6	85.8	NA	89.2	NA
en-ro	80.0	85.0	45.0	91.6	94.6	90.4	98.2	NA
en-ta	NA	NA	73.8	94.0	67.2	96.8	96.0	NA
cs-en	88.0	81.0	70.2	97.6	97.2	89.0	98.6	NA
fr-en	78.2	81.0	82.0	97.2	95.0	92.8	94.4	NA
lt-en	80.2	83.6	67.0	93.4	94.8	NA	94.8	NA
ro-en	78.8	84.6	73.4	98.0	95.4	91.8	95.4	NA
mean	77.4	78.5	58.1	92.1	88.4	85.9	95.4	NA
