modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-fi	5.3	5.0	13.7	5.0	6.4	NA	6.0	8.1
xglm-label-trim	en-fi	9.0	7.5	16.6	7.1	10.1	NA	11.6	10.7
xglm-keywords10-seen500-trim	en-fi	10.6	8.0	13.4	6.3	11.6	NA	12.6	NA
xglm-topic3shot-seen500-trim	en-fi	13.2	9.3	20.9	7.5	13.4	NA	13.4	NA
xglm-rand-label-trim	en-fi	9.1	7.9	17.3	6.5	10.0	NA	11.1	10.4
verbose-base-trim	en-fi	11.2	7.4	14.0	5.2	10.4	NA	10.8	13.9
xglm-keywords30-seen500-trim	en-fi	11.2	7.9	9.4	6.5	10.8	NA	12.9	NA
xglm-rand-keywords10-seen500-trim	en-fi	9.8	8.3	14.5	6.5	11.5	NA	13.1	NA
xglm-rand-keywords10-seen-all-trim	en-fi	10.2	7.9	18.6	6.4	11.2	NA	14.2	NA
xglm-rand-topic3shot-seen500-trim	en-fi	13.1	9.4	20.9	7.6	13.4	NA	13.4	NA
xglm-rand-3shot-seen-all-trim	en-fi	11.6	7.6	19.3	7.4	12.4	NA	12.6	NA
xglm-bm25-3shot-seen-all-trim	en-fi	10.8	7.6	19.4	6.7	9.0	NA	12.3	NA
xglm-sentsim-3shot-seen-all-trim	en-fi	12.5	12.1	21.3	6.3	11.9	NA	12.7	NA
xglm-topic1shot-seen500-trim	en-fi	11.3	9.0	17.3	6.6	12.8	NA	13.1	NA
xglm-topic5shot-seen500-trim	en-fi	12.7	10.4	21.4	8.1	13.3	NA	13.0	NA
xglm-topic3shot-seen200-trim	en-fi	12.4	9.8	19.6	6.4	13.7	NA	12.4	15.8
xglm-topic3shot-seen1000-trim	en-fi	12.9	10.9	20.9	6.9	13.1	NA	12.9	NA
xglm-bm25-3shot-langs-trim	en-fi	24.0	25.5	27.0	9.2	19.3	NA	18.3	NA
xglm-sentsim-3shot-langs-trim	en-fi	21.1	22.8	23.6	8.4	19.3	NA	16.6	NA
xglm-topic3shot-lang500-trim	en-fi	13.3	10.2	23.0	7.2	14.8	NA	14.8	NA
xglm-topic3shot-domain200-trim	en-fi	13.2	11.5	21.6	6.9	12.4	NA	13.2	NA
xglm-domain3shot-all-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-fi	13.5	8.9	22.6	7.8	14.7	NA	14.9	NA
xglm-rand-topic3shot-seen200-trim	en-fi	12.3	8.4	19.7	6.9	12.7	NA	13.1	16.2
