lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	82.0	85.8	81.0	74.9	76.3	66.2	78.8	NA
en-de	80.0	82.5	78.5	76.2	77.4	71.1	80.7	NA
en-fi	81.0	83.5	78.6	76.7	79.7	NA	82.6	NA
en-fr	81.5	85.8	77.7	76.0	78.3	71.6	81.7	NA
en-lt	53.5	50.2	67.4	51.9	47.9	NA	46.3	NA
en-ro	80.8	86.7	78.2	77.2	77.9	70.3	82.1	NA
en-ta	NA	NA	NA	NA	NA	NA	NA	NA
cs-en	84.0	84.3	81.4	78.0	79.6	NA	82.2	NA
fr-en	83.6	86.2	81.7	79.0	81.8	NA	85.1	NA
lt-en	72.6	71.8	68.2	61.1	63.9	NA	66.2	NA
ro-en	83.0	85.7	80.5	79.7	81.1	NA	85.2	NA
mean	78.2	80.2	77.3	73.1	74.4	69.8	77.1	NA
