lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	32.7	53.1	49.5	12.0	24.1	39.7	16.3	NA
en-de	36.2	58.9	55.7	9.8	20.4	36.7	17.7	NA
en-fi	29.3	46.5	52.4	10.9	21.4	NA	12.8	NA
en-fr	39.4	63.2	66.7	13.6	28.9	51.7	20.3	NA
en-lt	33.0	49.7	37.6	11.6	27.0	NA	25.8	NA
en-ro	36.3	57.1	52.2	9.6	18.1	33.6	17.2	NA
en-ta	NA	NA	30.2	11.3	32.5	23.3	18.2	NA
cs-en	30.6	49.5	35.8	8.4	14.3	43.9	16.9	NA
fr-en	28.5	50.5	34.3	10.4	19.1	31.1	18.1	NA
lt-en	26.0	53.4	32.8	7.5	20.7	NA	18.4	NA
ro-en	28.6	45.0	35.8	8.8	17.0	28.4	17.6	NA
mean	32.1	52.7	43.9	10.4	22.1	36.1	18.1	NA
