lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	8.6	15.4	17.0	8.9	10.0	4.0	11.5	13.3
en-de	18.5	20.2	16.0	18.2	19.6	11.1	21.0	23.9
en-fi	5.3	5.0	13.7	5.0	6.4	NA	6.0	8.1
en-fr	20.8	28.3	25.4	20.5	25.3	12.1	27.2	30.6
en-lt	4.0	3.2	4.4	1.1	0.9	NA	0.9	4.3
en-ro	9.0	18.7	14.6	11.2	13.6	4.9	17.5	17.0
en-ta	NA	NA	0.1	0.6	0.8	0.1	0.1	0.8
cs-en	29.7	32.5	21.6	24.5	24.4	10.5	27.0	34.0
fr-en	37.2	40.2	34.9	27.6	34.9	16.8	34.2	42.3
lt-en	8.6	11.5	4.4	4.2	7.2	NA	8.6	11.8
ro-en	35.6	37.9	22.2	29.6	29.8	9.9	34.2	38.5
mean	17.7	21.3	15.8	13.8	15.7	8.7	17.1	20.4
