modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base	en-cs	1.5	4.4	1.2	3.0	2.7	0.9	4.6	2.5
xglm-label	en-cs	7.6	11.3	6.1	9.0	6.4	3.1	12.3	4.7
xglm-keywords10-seen500	en-cs	8.5	10.3	2.0	5.9	6.4	1.8	13.5	NA
xglm-topic3shot-seen500	en-cs	16.5	20.9	21.5	11.8	13.0	4.2	15.2	NA
xglm-rand-label	en-cs	7.6	10.2	3.2	8.4	6.9	3.3	11.3	4.9
verbose-base	en-cs	15.6	18.6	15.9	7.6	10.7	4.0	13.0	17.6
xglm-keywords30-seen500	en-cs	6.8	9.2	1.6	4.9	5.8	1.5	12.1	NA
xglm-rand-keywords10-seen500	en-cs	6.7	9.7	1.9	6.6	5.6	1.7	11.7	NA
xglm-rand-keywords10-seen-all	en-cs	7.1	9.4	2.3	6.4	6.4	1.8	12.8	NA
xglm-rand-topic3shot-seen500	en-cs	16.5	20.9	20.8	11.8	12.7	4.2	15.1	NA
xglm-rand-3shot-seen-all	en-cs	16.3	20.5	20.1	13.0	14.4	4.2	13.3	NA
xglm-bm25-3shot-seen-all	en-cs	11.2	12.7	10.9	8.3	9.1	3.1	9.5	NA
xglm-sentsim-3shot-seen-all	en-cs	17.3	21.2	22.5	10.5	12.5	3.7	12.5	NA
xglm-topic1shot-seen500	en-cs	11.7	17.3	11.4	8.2	11.0	4.0	12.9	NA
xglm-topic5shot-seen500	en-cs	17.4	21.9	21.5	11.8	14.2	4.4	15.2	NA
xglm-topic3shot-seen200	en-cs	16.7	9.7	15.7	11.8	11.9	4.8	13.8	18.0
xglm-topic3shot-seen1000	en-cs	17.6	21.9	20.7	11.2	12.3	4.3	13.6	NA
xglm-bm25-3shot-langs	en-cs	31.6	30.9	29.7	12.5	17.7	21.4	18.0	NA
xglm-sentsim-3shot-langs	en-cs	29.7	28.8	28.5	13.0	16.1	18.8	16.6	NA
xglm-topic3shot-lang500	en-cs	19.5	24.4	25.2	12.6	16.2	5.4	15.5	NA
xglm-topic3shot-domain200	en-cs	18.0	21.2	10.7	12.5	11.9	4.5	15.2	NA
xglm-domain3shot-all	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs	en-cs	18.6	22.1	23.8	12.9	15.1	4.9	15.6	NA
xglm-rand-topic3shot-seen200	en-cs	17.1	19.6	19.7	11.6	11.6	4.3	14.2	18.2
xglm-base	en-de	5.3	5.8	2.4	8.0	7.7	6.0	10.7	4.8
xglm-label	en-de	11.5	15.0	8.5	17.0	15.3	9.0	20.2	9.0
xglm-keywords10-seen500	en-de	9.1	11.2	3.4	13.0	13.4	5.9	18.7	NA
