lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	14.9	24.7	6.1	6.7	11.5	17.0	14.2	NA
en-de	15.2	26.7	11.1	7.8	13.9	17.0	16.6	NA
en-fi	12.5	17.9	5.2	6.6	10.2	NA	12.1	NA
en-fr	18.1	28.6	14.7	8.6	15.7	17.5	17.9	NA
en-lt	16.3	28.9	5.7	9.5	20.6	NA	22.3	NA
en-ro	17.5	27.3	7.0	7.6	13.9	17.1	16.2	NA
en-ta	NA	NA	8.4	10.5	23.0	22.0	18.4	NA
cs-en	18.0	30.4	7.4	7.5	12.9	NA	15.9	NA
fr-en	16.7	29.5	14.4	7.8	14.2	NA	16.5	NA
lt-en	17.9	31.6	7.3	6.4	14.2	NA	15.3	NA
ro-en	18.0	29.2	7.4	7.9	13.9	NA	15.8	NA
mean	16.5	27.5	8.6	7.9	14.9	18.1	16.5	NA
