modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-ro	9.0	18.7	14.6	11.2	13.6	4.9	17.5	17.0
xglm-label-trim	en-ro	16.3	22.7	15.5	13.8	16.4	5.2	20.3	21.7
xglm-keywords10-seen500-trim	en-ro	20.9	23.5	21.0	14.5	17.3	5.1	20.2	NA
xglm-topic3shot-seen500-trim	en-ro	25.0	26.4	23.5	15.4	17.1	5.5	21.4	NA
xglm-rand-label-trim	en-ro	15.1	21.5	16.2	13.7	16.6	5.0	19.5	20.0
verbose-base-trim	en-ro	20.7	21.2	17.0	12.2	15.3	4.5	19.1	22.6
xglm-keywords30-seen500-trim	en-ro	21.0	24.1	20.5	14.0	19.4	5.3	21.0	NA
xglm-rand-keywords10-seen500-trim	en-ro	19.5	23.3	17.9	14.8	17.6	5.1	19.8	NA
xglm-rand-keywords10-seen-all-trim	en-ro	19.5	23.6	19.3	15.9	17.8	5.0	20.2	NA
xglm-rand-topic3shot-seen500-trim	en-ro	24.9	26.4	23.5	15.5	17.1	5.5	21.4	NA
xglm-rand-3shot-seen-all-trim	en-ro	20.9	24.0	20.9	16.0	18.7	5.1	20.8	NA
xglm-bm25-3shot-seen-all-trim	en-ro	20.2	22.4	20.2	15.0	16.2	4.9	20.6	NA
xglm-sentsim-3shot-seen-all-trim	en-ro	24.0	25.6	22.0	15.7	17.0	4.9	20.1	NA
xglm-topic1shot-seen500-trim	en-ro	22.8	23.3	21.4	14.3	17.0	5.0	20.2	NA
xglm-topic5shot-seen500-trim	en-ro	25.8	25.8	23.4	16.8	18.2	5.7	20.9	NA
xglm-topic3shot-seen200-trim	en-ro	24.5	25.2	22.7	16.4	18.8	5.6	21.8	24.5
xglm-topic3shot-seen1000-trim	en-ro	25.0	25.5	23.5	16.9	18.3	5.4	20.3	NA
xglm-bm25-3shot-langs-trim	en-ro	36.7	35.6	30.1	19.9	19.5	28.9	22.4	NA
xglm-sentsim-3shot-langs-trim	en-ro	35.2	34.2	28.0	19.8	19.3	24.8	23.3	NA
xglm-topic3shot-lang500-trim	en-ro	28.5	29.1	24.1	18.6	19.7	7.6	21.7	NA
xglm-topic3shot-domain200-trim	en-ro	24.5	26.3	23.3	14.2	18.4	5.7	21.8	NA
xglm-domain3shot-all-trim	en-ro	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-ro	25.8	26.9	21.2	18.9	19.0	6.3	22.0	NA
xglm-rand-topic3shot-seen200-trim	en-ro	22.6	24.2	22.2	16.2	18.1	5.3	21.6	25.0
