lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	77.9	82.1	75.2	71.5	74.4	66.8	77.7	74.9
en-de	77.3	79.2	73.5	75.5	76.6	70.6	80.0	82.9
en-fi	77.8	79.6	73.5	75.6	78.2	NA	80.9	75.6
en-fr	78.4	83.0	73.5	73.7	76.2	70.9	80.7	82.7
en-lt	48.7	44.4	60.7	52.0	46.2	NA	44.9	55.9
en-ro	78.4	83.9	72.7	75.7	76.7	69.8	81.9	77.3
en-ta	NA	NA	48.9	46.1	36.1	32.2	38.7	41.0
cs-en	72.5	73.6	72.4	72.0	71.7	62.6	73.1	NA
fr-en	80.4	83.2	75.6	78.0	79.2	73.2	82.9	NA
lt-en	65.9	67.1	60.1	59.5	61.4	NA	63.7	NA
ro-en	80.4	82.8	73.9	78.9	79.7	67.2	83.7	NA
mean	73.8	75.9	69.1	69.0	68.8	64.2	71.7	70.0
