lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	69.1	71.1	65.5	63.5	66.6	61.3	68.7	NA
en-de	69.8	70.2	65.9	68.3	71.1	65.3	73.9	NA
en-fi	69.9	66.2	64.8	68.1	70.6	NA	74.4	NA
en-fr	72.7	74.1	67.6	70.0	72.0	65.4	76.4	NA
en-lt	48.4	44.5	54.1	47.9	45.2	NA	44.6	NA
en-ro	71.6	77.8	64.4	68.5	70.6	64.5	75.4	NA
en-ta	NA	NA	45.7	46.8	39.9	33.8	40.1	NA
cs-en	72.4	70.4	65.2	68.8	68.2	58.0	72.3	NA
fr-en	71.5	73.8	65.3	68.6	69.7	64.7	73.8	NA
lt-en	67.1	68.9	60.9	64.9	65.6	NA	70.0	NA
ro-en	70.2	71.8	64.2	69.1	69.4	60.6	73.3	NA
mean	68.3	68.9	62.1	64.0	64.4	59.2	67.5	NA
