lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	80.9	85.4	79.4	72.8	74.4	66.2	76.6	NA
en-de	79.5	82.0	76.4	75.6	76.9	69.9	79.8	NA
en-fi	79.4	81.8	77.5	75.7	79.0	NA	81.5	NA
en-fr	81.0	85.1	76.5	75.7	77.6	70.0	81.4	NA
en-lt	50.4	46.6	63.4	52.4	45.7	NA	44.4	NA
en-ro	79.9	85.6	76.5	76.5	77.3	68.6	81.2	NA
en-ta	NA	NA	50.8	47.9	36.8	31.0	38.4	NA
cs-en	82.9	83.0	79.2	76.9	78.6	NA	81.3	NA
fr-en	83.4	85.7	79.3	78.5	81.2	NA	84.7	NA
lt-en	68.3	67.0	61.3	54.4	55.1	NA	56.7	NA
ro-en	82.6	84.7	78.1	78.4	79.0	NA	83.3	NA
mean	76.8	78.7	72.6	69.5	69.2	61.1	71.8	NA
