lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	76.0	81.3	71.4	68.1	71.3	65.9	75.2	NA
en-de	74.1	78.8	69.8	70.3	72.8	69.5	77.4	NA
en-fi	75.8	78.5	69.4	70.4	74.2	NA	78.6	NA
en-fr	76.1	81.8	70.6	71.7	74.5	69.4	79.4	NA
en-lt	46.4	44.2	56.4	48.0	43.9	NA	43.5	NA
en-ro	75.0	82.7	68.3	70.6	73.2	67.8	78.1	NA
en-ta	NA	NA	47.8	46.3	38.6	32.7	39.9	NA
cs-en	79.6	80.8	70.3	72.1	74.6	NA	78.5	NA
fr-en	78.6	82.7	72.8	73.8	77.3	NA	81.3	NA
lt-en	66.2	67.0	57.3	54.3	57.5	NA	60.5	NA
ro-en	78.3	82.2	70.0	74.1	76.5	NA	81.2	NA
mean	72.6	76.0	65.8	65.4	66.8	61.1	70.3	NA
