lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	31.4	30.9	29.1	12.5	17.9	21.4	18.0	NA
en-de	34.0	35.3	26.4	18.8	23.2	23.1	23.5	NA
en-fi	24.0	25.5	27.0	9.2	19.3	NA	18.3	NA
en-fr	39.3	43.9	39.7	23.0	31.4	34.3	30.8	NA
en-lt	15.8	14.0	18.8	2.7	6.5	NA	7.4	NA
en-ro	36.7	35.6	30.1	19.9	19.5	28.9	22.4	NA
en-ta	NA	NA	6.6	3.9	4.5	25.1	6.2	NA
cs-en	44.7	44.7	38.7	26.6	28.9	16.9	30.0	NA
fr-en	47.3	50.3	45.2	29.3	36.0	17.7	36.8	NA
lt-en	27.9	28.5	27.4	9.8	16.8	NA	18.9	NA
ro-en	48.3	49.9	40.6	33.0	32.8	14.3	38.4	NA
mean	34.9	35.9	30.0	17.2	21.5	22.7	22.8	NA
