lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	89.2	96.2	85.2	87.6	91.8	95.4	95.8	NA
en-de	84.2	87.6	77.8	92.2	90.0	89.6	94.2	NA
en-fi	88.0	92.0	81.2	91.0	91.4	NA	95.2	NA
en-fr	80.4	80.6	73.6	86.0	85.0	80.6	91.0	NA
en-lt	85.6	95.2	83.2	90.4	93.6	NA	93.2	NA
en-ro	94.0	97.6	84.0	92.0	95.0	99.2	98.2	NA
en-ta	NA	NA	88.8	93.2	89.4	98.8	97.4	NA
cs-en	97.2	98.0	94.6	98.0	99.6	99.8	99.4	NA
fr-en	96.8	99.8	94.4	99.0	99.4	99.6	99.8	NA
lt-en	92.2	97.2	89.8	97.8	97.4	NA	99.0	NA
ro-en	96.8	99.8	90.8	98.2	98.0	99.4	99.4	NA
mean	90.4	94.4	85.8	93.2	93.7	95.3	96.6	NA
