lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	79.8	84.2	73.5	68.9	73.2	69.5	75.7	NA
en-de	75.9	80.1	71.2	70.3	73.7	72.0	76.7	NA
en-fi	78.6	83.1	71.4	71.2	76.8	NA	79.1	NA
en-fr	77.8	83.3	72.4	71.1	73.9	73.4	78.9	NA
en-lt	59.3	54.2	61.3	53.2	50.5	NA	50.0	NA
en-ro	79.0	84.3	70.2	72.0	74.0	71.7	78.8	NA
en-ta	NA	NA	48.1	52.9	46.2	38.4	39.6	NA
cs-en	79.9	81.2	71.5	72.4	75.0	67.2	78.4	NA
fr-en	78.9	83.1	73.8	74.0	77.3	69.9	81.3	NA
lt-en	72.0	73.2	62.2	60.7	64.2	NA	66.4	NA
ro-en	79.1	82.8	70.7	74.8	76.8	67.3	81.4	NA
mean	76.0	79.0	67.8	67.4	69.2	66.2	71.5	NA
