lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	15.4	24.4	6.3	6.8	11.4	16.6	14.4	NA
en-de	15.3	26.8	11.1	7.8	13.6	16.8	16.8	NA
en-fi	13.0	17.5	5.4	6.9	10.1	NA	12.3	NA
en-fr	18.5	28.8	14.8	8.6	15.9	16.6	17.8	NA
en-lt	16.1	28.2	5.7	7.9	16.7	NA	19.2	NA
en-ro	18.4	26.7	6.7	7.5	13.7	16.7	16.1	NA
en-ta	NA	NA	7.8	8.6	22.2	19.2	18.3	NA
cs-en	17.3	29.3	7.1	7.6	12.9	22.2	16.4	NA
fr-en	16.3	29.4	13.9	7.8	14.2	18.2	16.5	NA
lt-en	16.5	30.9	6.7	6.8	14.7	NA	15.7	NA
ro-en	17.7	29.5	7.6	8.0	14.1	18.7	15.9	NA
mean	16.4	27.1	8.5	7.7	14.5	18.1	16.3	NA
