lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	75.4	80.3	68.8	67.0	69.8	64.6	73.0	NA
en-de	74.5	77.9	68.0	70.1	72.1	67.4	75.7	NA
en-fi	74.8	77.7	67.2	70.1	73.9	NA	77.7	NA
en-fr	75.6	81.1	68.3	71.3	73.6	68.2	78.5	NA
en-lt	47.3	44.2	54.7	48.2	43.8	NA	43.0	NA
en-ro	75.1	82.0	66.7	70.2	73.0	66.5	77.4	NA
en-ta	NA	NA	46.5	46.3	38.0	33.3	39.0	NA
cs-en	76.7	76.9	66.4	70.9	72.8	NA	76.9	NA
fr-en	77.3	80.7	69.2	72.4	75.8	NA	80.2	NA
lt-en	64.1	62.9	53.6	51.8	52.9	NA	55.1	NA
ro-en	76.9	80.0	66.2	72.8	74.7	NA	79.0	NA
mean	71.8	74.4	63.2	64.6	65.5	60.0	68.7	NA
