lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	77.4	82.5	74.6	73.3	74.7	65.8	77.4	75.7
en-de	77.4	81.1	75.7	76.0	77.5	70.1	80.2	83.9
en-fi	73.9	79.5	74.1	75.5	77.3	NA	80.4	74.1
en-fr	80.0	84.3	75.4	75.3	77.4	69.8	81.7	85.3
en-lt	48.3	45.1	60.6	51.8	45.1	NA	44.5	57.5
en-ro	76.6	84.0	74.7	75.7	76.6	67.6	80.7	77.8
en-ta	NA	NA	46.7	46.3	38.2	29.8	39.3	40.8
cs-en	83.5	82.5	79.3	77.7	79.2	NA	81.9	NA
fr-en	83.0	85.2	80.0	79.4	81.8	NA	85.2	NA
lt-en	69.0	66.0	62.7	57.9	60.6	NA	62.0	NA
ro-en	82.2	84.3	78.5	79.2	80.2	NA	84.2	NA
mean	75.1	77.5	71.1	69.8	69.9	60.6	72.5	70.7
