modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base	en-cs	91.8	85.7	76.0	20.7	41.0	73.4	34.2	70.6
xglm-label	en-cs	27.2	41.0	16.9	8.6	18.3	25.3	15.6	42.7
xglm-keywords10-seen500	en-cs	29.3	50.0	49.4	12.4	23.7	38.3	15.4	NA
xglm-topic3shot-seen500	en-cs	17.5	26.0	7.0	7.0	12.4	16.6	14.1	NA
xglm-rand-label	en-cs	25.5	43.6	30.7	8.6	18.8	22.6	17.2	40.5
verbose-base	en-cs	16.7	26.4	6.7	8.7	13.4	17.7	14.9	13.9
xglm-keywords30-seen500	en-cs	36.3	56.0	63.7	14.9	25.7	48.9	17.8	NA
xglm-rand-keywords10-seen500	en-cs	34.3	52.4	53.3	11.2	25.3	43.8	17.0	NA
xglm-rand-keywords10-seen-all	en-cs	32.7	53.1	49.5	12.0	24.1	39.7	16.3	NA
xglm-rand-topic3shot-seen500	en-cs	17.4	26.0	7.2	7.0	12.7	16.6	14.1	NA
xglm-rand-3shot-seen-all	en-cs	15.6	25.7	6.9	6.9	11.9	18.1	14.9	NA
xglm-bm25-3shot-seen-all	en-cs	21.3	39.2	10.4	8.1	15.5	23.2	18.1	NA
xglm-sentsim-3shot-seen-all	en-cs	16.5	26.3	6.5	7.3	12.0	17.6	15.3	NA
xglm-topic1shot-seen500	en-cs	22.5	30.1	11.3	9.1	13.9	17.8	15.1	NA
xglm-topic5shot-seen500	en-cs	18.3	25.8	6.8	7.2	11.7	16.5	14.4	NA
xglm-topic3shot-seen200	en-cs	17.1	51.6	9.2	7.1	13.4	16.3	15.2	14.8
xglm-topic3shot-seen1000	en-cs	16.9	25.5	7.1	6.9	13.0	15.8	15.4	NA
xglm-bm25-3shot-langs	en-cs	15.6	24.2	6.1	7.1	11.3	16.5	13.8	NA
xglm-sentsim-3shot-langs	en-cs	15.5	24.4	6.3	6.8	11.4	16.9	14.4	NA
xglm-topic3shot-lang500	en-cs	15.1	24.5	6.0	6.7	11.3	17.0	14.1	NA
xglm-topic3shot-domain200	en-cs	16.2	26.1	12.6	6.9	13.4	16.3	14.3	NA
xglm-domain3shot-all	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs	en-cs	15.1	24.8	6.1	6.7	11.5	17.0	14.3	NA
xglm-rand-topic3shot-seen200	en-cs	NA	NA	NA	NA	NA	NA	NA	15.1
xglm-base	en-de	51.5	95.2	69.2	15.1	32.4	32.2	28.9	52.5
xglm-label	en-de	28.4	43.6	23.3	8.3	19.1	24.5	17.2	29.6
xglm-keywords10-seen500	en-de	36.5	59.4	56.4	10.4	21.8	36.1	19.0	NA
xglm-topic3shot-seen500	en-de	18.1	27.0	13.3	7.8	14.1	17.5	16.4	NA
xglm-rand-label	en-de	27.1	46.4	31.5	8.2	17.6	24.1	16.7	31.6
verbose-base	en-de	15.9	28.1	11.3	8.2	14.2	17.6	16.8	11.4
xglm-keywords30-seen500	en-de	39.3	63.8	63.3	13.2	24.9	43.3	19.9	NA
xglm-rand-keywords10-seen500	en-de	34.0	56.5	52.1	10.6	20.5	38.6	18.7	NA
xglm-rand-keywords10-seen-all	en-de	36.2	58.9	55.7	9.8	20.4	36.7	17.7	NA
xglm-rand-topic3shot-seen500	en-de	18.1	27.0	13.3	7.8	14.1	17.5	16.4	NA
xglm-rand-3shot-seen-all	en-de	15.7	28.8	12.4	7.9	14.3	17.6	16.7	NA
xglm-bm25-3shot-seen-all	en-de	20.0	45.7	12.9	8.2	15.9	23.1	18.7	NA
xglm-sentsim-3shot-seen-all	en-de	16.5	28.5	11.8	8.0	14.1	18.3	16.9	NA
xglm-topic1shot-seen500	en-de	26.6	40.4	24.2	9.4	18.9	21.0	19.2	NA
xglm-topic5shot-seen500	en-de	17.8	28.3	11.7	7.8	14.0	17.1	16.3	NA
xglm-topic3shot-seen200	en-de	17.0	28.6	12.9	7.9	14.6	18.9	17.1	13.6
xglm-topic3shot-seen1000	en-de	18.2	27.8	12.1	7.9	13.6	16.9	16.5	NA
xglm-bm25-3shot-langs	en-de	15.6	26.3	11.2	7.9	13.8	17.0	16.4	NA
xglm-sentsim-3shot-langs	en-de	15.5	26.8	11.2	7.8	13.6	16.8	16.8	NA
xglm-topic3shot-lang500	en-de	15.8	26.9	11.1	7.8	13.9	16.8	16.4	NA
xglm-topic3shot-domain200	en-de	18.6	30.5	13.5	7.9	14.5	19.3	16.3	NA
xglm-domain3shot-all	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs	en-de	15.5	26.7	11.6	7.8	13.9	17.0	16.6	NA
xglm-rand-topic3shot-seen200	en-de	18.1	29.3	13.5	8.0	14.5	17.9	16.8	12.8
xglm-base	en-fi	94.5	89.3	77.7	29.7	40.1	NA	44.0	87.0
xglm-label	en-fi	26.2	30.4	16.8	8.2	16.5	NA	13.5	46.1
xglm-keywords10-seen500	en-fi	29.2	41.4	47.7	10.7	18.6	NA	13.0	NA
xglm-topic3shot-seen500	en-fi	14.6	19.7	5.9	6.5	12.5	NA	12.3	NA
xglm-rand-label	en-fi	27.5	33.7	30.1	9.1	16.6	NA	14.4	42.1
verbose-base	en-fi	13.8	19.0	5.8	7.4	11.2	NA	12.6	13.6
xglm-keywords30-seen500	en-fi	30.0	46.9	60.8	15.3	22.8	NA	14.3	NA
xglm-rand-keywords10-seen500	en-fi	31.5	44.4	52.5	11.6	21.0	NA	14.2	NA
xglm-rand-keywords10-seen-all	en-fi	29.3	46.5	52.4	10.9	21.4	NA	12.8	NA
xglm-rand-topic3shot-seen500	en-fi	14.7	19.5	6.0	6.5	12.5	NA	12.3	NA
xglm-rand-3shot-seen-all	en-fi	14.1	21.1	6.6	6.8	11.7	NA	12.7	NA
xglm-bm25-3shot-seen-all	en-fi	18.4	35.7	8.5	9.1	15.1	NA	15.5	NA
xglm-sentsim-3shot-seen-all	en-fi	14.9	21.3	6.4	7.4	11.1	NA	13.1	NA
xglm-topic1shot-seen500	en-fi	17.3	26.4	13.4	8.2	12.8	NA	13.5	NA
xglm-topic5shot-seen500	en-fi	16.3	18.9	5.7	6.8	11.3	NA	12.7	NA
xglm-topic3shot-seen200	en-fi	13.6	18.7	7.9	7.5	12.4	NA	13.8	16.6
