lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	18.0	22.0	23.1	11.1	15.0	4.9	14.8	NA
en-de	25.9	27.4	22.2	18.2	22.4	12.0	23.8	NA
en-fi	12.5	8.9	22.4	7.9	12.8	NA	14.1	NA
en-fr	30.5	36.3	34.9	24.3	29.7	12.7	31.2	NA
en-lt	5.0	5.5	7.5	1.1	1.2	NA	1.5	NA
en-ro	23.1	24.2	22.9	17.0	18.9	5.0	21.8	NA
en-ta	NA	NA	1.0	1.0	0.6	0.0	0.1	NA
cs-en	33.1	37.0	30.2	27.1	26.5	NA	27.8	NA
fr-en	39.0	42.9	37.7	28.3	35.4	NA	35.2	NA
lt-en	12.8	16.4	10.0	5.3	8.5	NA	9.9	NA
ro-en	39.0	40.3	31.3	32.5	31.5	NA	35.4	NA
mean	23.9	26.1	22.1	15.8	18.4	6.9	19.6	NA
