lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	80.8	81.4	50.2	88.6	88.8	89.2	96.6	NA
en-de	77.6	71.4	53.8	95.0	91.8	84.4	98.0	NA
en-fi	73.6	76.8	42.0	90.2	87.8	NA	95.6	NA
en-fr	74.6	63.8	41.6	85.8	82.8	69.8	94.8	NA
en-lt	74.2	78.2	52.4	91.2	89.2	NA	93.4	NA
en-ro	81.0	84.6	50.4	90.6	93.6	90.8	97.2	NA
en-ta	NA	NA	70.4	92.8	65.4	94.0	95.4	NA
cs-en	90.0	81.0	61.6	94.2	94.6	NA	97.2	NA
fr-en	88.4	81.0	69.8	91.0	92.8	NA	90.6	NA
lt-en	88.0	85.6	58.4	89.6	92.0	NA	95.4	NA
ro-en	91.2	84.6	62.8	93.8	95.0	NA	94.0	NA
mean	81.9	78.8	55.8	91.2	88.5	85.6	95.3	NA
