lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	16.3	20.5	16.1	11.4	13.3	4.7	13.9	18.7
en-de	22.4	26.6	16.7	17.1	22.1	12.1	22.6	28.2
en-fi	10.2	8.1	10.5	6.8	12.7	NA	13.2	10.8
en-fr	30.0	34.9	32.7	23.2	30.6	13.0	30.2	39.2
en-lt	3.8	4.3	4.0	1.4	1.0	NA	1.4	5.0
en-ro	19.2	23.5	15.1	15.1	17.3	4.8	19.1	22.6
en-ta	NA	NA	0.4	0.5	0.6	0.0	0.2	1.6
cs-en	32.6	35.7	20.4	25.8	25.9	10.6	27.6	NA
fr-en	39.5	42.6	34.1	28.5	35.6	16.3	34.5	NA
lt-en	10.9	13.7	6.4	4.9	7.9	NA	8.9	NA
ro-en	39.4	40.4	25.5	31.5	30.9	9.6	35.2	NA
mean	22.4	25.0	16.5	15.1	18.0	8.9	18.8	18.0
