lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	19.4	24.5	24.6	12.6	16.2	5.4	15.5	NA
en-de	26.9	27.4	23.0	18.4	23.4	13.1	23.8	NA
en-fi	13.3	10.2	23.0	7.2	14.8	NA	14.8	NA
en-fr	34.1	38.0	36.3	24.2	30.3	15.3	30.1	NA
en-lt	6.0	7.6	8.5	1.5	1.5	NA	1.8	NA
en-ro	28.5	29.1	24.1	18.6	19.7	7.6	21.7	NA
en-ta	NA	NA	1.2	0.8	1.2	0.4	0.4	NA
cs-en	38.2	40.3	31.0	26.5	27.8	14.0	28.7	NA
fr-en	41.6	47.5	39.8	29.1	35.9	18.4	35.6	NA
lt-en	17.5	22.5	14.5	7.3	10.9	NA	12.8	NA
ro-en	42.0	45.8	34.1	32.4	32.0	12.8	36.7	NA
mean	26.8	29.3	23.6	16.2	19.4	10.9	20.2	NA
