lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	27.2	41.0	16.9	8.6	18.3	25.3	15.6	42.7
en-de	28.4	43.6	23.3	8.3	19.1	24.5	17.2	29.6
en-fi	26.2	30.4	16.8	8.2	16.5	NA	13.5	46.1
en-fr	33.6	41.5	26.4	10.2	20.5	34.4	17.9	30.6
en-lt	25.0	36.5	12.2	8.8	24.0	NA	23.3	33.2
en-ro	27.5	38.9	15.0	8.9	16.8	22.5	15.8	35.8
en-ta	NA	NA	24.1	10.4	22.6	24.3	16.4	29.8
cs-en	20.7	32.9	12.0	7.6	12.7	26.9	15.8	NA
fr-en	19.7	31.5	19.0	8.1	15.9	18.1	16.9	NA
lt-en	19.7	37.7	10.0	6.2	14.6	NA	15.0	NA
ro-en	20.9	31.0	11.4	7.9	14.8	17.9	16.7	NA
mean	24.9	36.5	17.0	8.5	17.8	24.2	16.7	35.4
