modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	lt-en	62.4	62.5	55.6	54.3	56.7	NA	58.6	63.7
xglm-label-trim	lt-en	65.5	65.0	63.4	54.2	58.1	NA	59.7	NA
xglm-keywords10-seen500-trim	lt-en	67.4	67.1	63.7	56.9	59.4	NA	60.4	NA
xglm-topic3shot-seen500-trim	lt-en	70.2	70.7	66.2	58.2	58.3	NA	60.1	NA
xglm-rand-label-trim	lt-en	64.0	62.7	60.7	54.6	57.0	NA	58.7	NA
verbose-base-trim	lt-en	65.9	67.1	60.1	59.5	61.4	NA	63.7	NA
xglm-keywords30-seen500-trim	lt-en	67.8	67.4	64.0	57.5	59.7	NA	60.1	NA
xglm-rand-keywords10-seen500-trim	lt-en	64.4	64.8	61.8	54.9	57.6	NA	59.2	NA
xglm-rand-keywords10-seen-all-trim	lt-en	66.3	65.3	61.9	56.1	58.8	NA	60.7	NA
xglm-rand-topic3shot-seen500-trim	lt-en	70.3	70.7	66.2	58.2	58.3	NA	60.1	NA
xglm-rand-3shot-seen-all-trim	lt-en	70.9	71.6	69.7	69.1	68.1	NA	72.3	NA
xglm-bm25-3shot-seen-all-trim	lt-en	70.8	71.7	69.5	69.6	68.1	NA	72.3	NA
xglm-sentsim-3shot-seen-all-trim	lt-en	70.9	71.6	69.7	69.4	68.1	NA	72.4	NA
xglm-topic1shot-seen500-trim	lt-en	64.0	68.3	62.4	55.8	57.3	NA	58.1	NA
xglm-topic5shot-seen500-trim	lt-en	70.9	71.2	67.9	58.1	59.0	NA	60.3	NA
xglm-topic3shot-seen200-trim	lt-en	71.0	65.7	64.6	54.9	56.5	NA	56.9	59.8
xglm-topic3shot-seen1000-trim	lt-en	71.2	70.9	64.6	56.3	57.8	NA	59.7	NA
xglm-bm25-3shot-langs-trim	lt-en	77.0	75.3	74.9	61.8	65.8	NA	67.9	NA
xglm-sentsim-3shot-langs-trim	lt-en	76.8	75.9	73.2	64.9	67.3	NA	69.2	NA
xglm-topic3shot-lang500-trim	lt-en	71.8	71.6	67.4	61.0	62.9	NA	65.6	NA
xglm-topic3shot-domain200-trim	lt-en	71.9	71.3	67.2	58.5	60.8	NA	63.0	NA
xglm-domain3shot-all-trim	lt-en	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	lt-en	67.8	68.4	64.8	59.4	61.5	NA	63.9	NA
xglm-rand-topic3shot-seen200-trim	lt-en	59.8	60.7	52.3	49.5	51.5	NA	53.5	NA
