lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	95.4	99.4	90.2	93.0	95.6	98.6	99.2	NA
en-de	98.0	99.8	94.0	99.2	99.0	99.6	99.6	NA
en-fi	96.8	98.4	91.6	94.8	96.4	NA	99.2	NA
en-fr	96.4	99.2	91.2	95.6	98.0	93.8	99.4	NA
en-lt	95.4	97.6	90.8	93.4	93.8	NA	97.6	NA
en-ro	96.8	99.4	87.8	93.4	97.6	99.4	99.6	NA
en-ta	NA	NA	95.2	96.0	93.0	99.6	99.8	NA
cs-en	98.4	99.8	94.2	97.6	99.8	NA	99.8	NA
fr-en	97.6	100.0	95.8	98.6	99.6	NA	99.6	NA
lt-en	95.4	98.8	86.4	94.4	98.0	NA	98.8	NA
ro-en	98.0	100.0	92.2	97.4	99.2	NA	99.8	NA
mean	96.8	99.2	91.8	95.8	97.3	98.2	99.3	NA
