lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	15.7	20.3	16.3	12.3	12.2	4.6	14.3	NA
en-de	23.2	26.0	17.8	15.9	22.9	12.4	23.2	NA
en-fi	10.7	7.5	12.9	7.2	11.7	NA	12.2	NA
en-fr	30.2	34.1	32.1	23.2	30.8	12.5	30.6	NA
en-lt	3.7	4.5	5.0	1.3	1.1	NA	1.4	NA
en-ro	19.7	23.3	17.5	15.5	17.2	4.9	18.8	NA
en-ta	NA	NA	0.5	0.9	0.6	0.0	0.2	NA
cs-en	31.9	34.4	22.6	26.3	26.2	NA	27.4	NA
fr-en	37.2	41.6	33.2	28.2	36.1	NA	34.8	NA
lt-en	12.6	13.9	7.4	5.5	8.7	NA	10.2	NA
ro-en	38.6	39.9	26.6	31.4	30.9	NA	35.2	NA
mean	22.4	24.6	17.4	15.2	18.0	6.9	18.9	NA
