lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	71.7	78.1	68.1	66.4	69.3	63.6	71.4	NA
en-de	71.8	76.8	67.8	69.3	71.8	67.0	75.5	NA
en-fi	72.5	74.6	67.1	69.2	73.2	NA	76.6	NA
en-fr	75.1	81.2	69.4	70.5	72.6	67.8	77.7	NA
en-lt	52.1	49.0	56.2	49.7	45.9	NA	44.9	NA
en-ro	73.2	81.2	66.4	69.8	72.1	65.9	76.6	NA
en-ta	NA	NA	47.0	47.8	40.0	35.0	40.3	NA
cs-en	72.5	70.8	65.0	68.7	68.2	58.5	72.3	NA
fr-en	71.5	74.1	65.6	68.7	70.1	65.0	74.1	NA
lt-en	67.1	68.9	61.2	64.7	65.5	NA	70.1	NA
ro-en	70.2	71.9	64.3	69.1	69.6	60.9	73.2	NA
mean	69.8	72.7	63.5	64.9	65.3	60.5	68.4	NA
