modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-cs	16.7	25.0	6.4	7.8	12.0	17.3	14.4	14.6
xglm-label-trim	en-cs	14.5	24.5	6.0	6.8	10.3	18.3	14.1	12.6
xglm-keywords10-seen500-trim	en-cs	16.1	24.6	8.4	7.2	11.3	16.8	14.1	NA
xglm-topic3shot-seen500-trim	en-cs	14.7	24.3	6.1	6.8	12.0	16.6	13.9	NA
xglm-rand-label-trim	en-cs	13.9	24.2	6.2	6.8	10.9	17.5	15.6	13.3
verbose-base-trim	en-cs	16.6	26.4	6.6	8.7	13.4	17.7	14.9	13.9
xglm-keywords30-seen500-trim	en-cs	16.0	25.2	8.0	7.0	11.9	17.4	14.1	NA
xglm-rand-keywords10-seen500-trim	en-cs	15.3	24.1	7.9	6.8	12.4	17.3	14.6	NA
xglm-rand-keywords10-seen-all-trim	en-cs	15.0	24.2	6.6	7.4	11.9	15.8	15.1	NA
xglm-rand-topic3shot-seen500-trim	en-cs	14.7	24.3	6.2	6.8	12.2	16.6	13.9	NA
xglm-rand-3shot-seen-all-trim	en-cs	15.3	24.5	6.1	6.9	11.7	17.4	14.8	NA
xglm-bm25-3shot-seen-all-trim	en-cs	15.6	24.9	6.4	7.2	12.3	17.0	16.1	NA
xglm-sentsim-3shot-seen-all-trim	en-cs	15.5	24.4	6.3	7.0	12.0	16.7	14.9	NA
xglm-topic1shot-seen500-trim	en-cs	14.4	24.4	6.2	6.9	11.4	16.6	14.3	NA
xglm-topic5shot-seen500-trim	en-cs	15.2	24.4	6.1	7.2	11.4	16.4	14.3	NA
xglm-topic3shot-seen200-trim	en-cs	14.7	24.8	6.1	6.9	12.4	15.8	14.5	13.1
xglm-topic3shot-seen1000-trim	en-cs	15.1	24.5	6.4	6.9	11.8	15.8	15.0	NA
xglm-bm25-3shot-langs-trim	en-cs	15.3	24.2	6.1	7.1	11.1	16.5	13.8	NA
xglm-sentsim-3shot-langs-trim	en-cs	15.4	24.4	6.3	6.8	11.4	16.6	14.4	NA
xglm-topic3shot-lang500-trim	en-cs	14.8	24.4	6.0	6.7	11.3	17.0	14.1	NA
xglm-topic3shot-domain200-trim	en-cs	14.7	24.1	6.1	6.9	12.9	15.8	14.3	NA
xglm-domain3shot-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-cs	14.9	24.7	6.1	6.7	11.5	17.0	14.2	NA
xglm-rand-topic3shot-seen200-trim	en-cs	14.1	24.4	6.2	6.8	12.4	16.8	14.1	13.0
