lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	97.8	98.8	94.4	92.8	97.6	99.4	99.2	NA
en-de	98.6	100.0	94.4	98.4	99.0	99.6	99.6	NA
en-fi	98.0	99.2	94.0	97.4	97.6	NA	99.2	NA
en-fr	98.2	99.2	94.6	96.0	98.0	99.6	99.0	NA
en-lt	98.4	98.4	95.8	96.8	98.0	NA	99.0	NA
en-ro	98.6	99.4	91.6	93.8	97.6	99.6	99.4	NA
en-ta	NA	NA	97.4	98.8	96.6	100.0	99.8	NA
cs-en	98.4	99.8	94.2	97.8	99.8	100.0	100.0	NA
fr-en	98.0	99.8	97.0	98.6	99.2	100.0	99.8	NA
lt-en	97.4	99.2	91.4	94.8	98.8	NA	98.8	NA
ro-en	98.2	100.0	90.8	97.8	99.0	99.8	99.6	NA
mean	98.2	99.4	94.1	96.6	98.3	99.8	99.4	NA
