modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-fr	62.8	81.4	64.4	80.4	79.6	94.0	88.4	68.2
xglm-label-trim	en-fr	89.4	96.8	70.0	93.0	93.4	98.8	98.0	83.6
xglm-keywords10-seen500-trim	en-fr	93.4	97.2	82.0	94.4	95.0	99.2	98.8	NA
xglm-topic3shot-seen500-trim	en-fr	96.4	99.6	93.4	94.2	96.4	99.6	98.0	NA
xglm-rand-label-trim	en-fr	86.6	96.0	72.8	92.2	93.4	98.6	97.8	84.4
verbose-base-trim	en-fr	95.2	98.6	91.4	93.0	95.2	99.0	97.4	95.2
xglm-keywords30-seen500-trim	en-fr	93.4	97.6	82.8	95.0	95.4	99.0	98.6	NA
xglm-rand-keywords10-seen500-trim	en-fr	90.8	97.4	82.6	94.6	96.4	99.0	98.6	NA
xglm-rand-keywords10-seen-all-trim	en-fr	92.4	97.0	82.0	94.4	95.8	98.4	98.8	NA
xglm-rand-topic3shot-seen500-trim	en-fr	96.4	99.6	93.4	94.2	96.4	99.6	98.0	NA
xglm-rand-3shot-seen-all-trim	en-fr	87.2	94.6	79.2	90.8	89.8	96.0	94.0	NA
xglm-bm25-3shot-seen-all-trim	en-fr	82.8	94.2	75.0	89.0	90.6	93.0	92.6	NA
xglm-sentsim-3shot-seen-all-trim	en-fr	81.0	94.4	79.6	87.6	89.2	93.8	92.4	NA
xglm-topic1shot-seen500-trim	en-fr	95.2	98.8	90.2	95.0	95.8	99.4	97.8	NA
xglm-topic5shot-seen500-trim	en-fr	96.8	99.6	91.6	94.0	97.0	99.8	99.0	NA
xglm-topic3shot-seen200-trim	en-fr	96.4	98.6	90.2	94.4	97.8	99.4	99.2	93.6
xglm-topic3shot-seen1000-trim	en-fr	97.4	99.0	91.8	96.2	96.8	99.6	97.8	NA
xglm-bm25-3shot-langs-trim	en-fr	98.2	99.2	94.6	96.0	98.0	99.6	99.0	NA
xglm-sentsim-3shot-langs-trim	en-fr	98.0	99.4	93.6	96.4	97.4	99.6	99.0	NA
xglm-topic3shot-lang500-trim	en-fr	96.6	99.4	92.8	96.0	96.8	99.6	99.0	NA
xglm-topic3shot-domain200-trim	en-fr	97.0	98.8	91.4	96.2	97.2	99.8	99.2	NA
xglm-domain3shot-all-trim	en-fr	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-fr	97.0	99.0	91.6	95.4	97.8	100.0	99.4	NA
xglm-rand-topic3shot-seen200-trim	en-fr	95.6	99.0	91.2	95.0	97.0	99.2	99.4	94.6
