lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	15.0	24.2	6.6	7.4	11.9	15.8	15.1	NA
en-de	15.5	26.8	11.5	7.9	14.2	17.0	17.1	NA
en-fi	13.4	19.3	5.8	7.4	10.9	NA	12.0	NA
en-fr	18.1	28.6	14.5	8.7	15.3	17.2	18.3	NA
en-lt	19.6	32.1	6.4	9.3	22.1	NA	24.3	NA
en-ro	17.6	27.2	6.9	7.9	13.7	17.7	16.1	NA
en-ta	NA	NA	10.6	10.2	19.4	22.1	17.5	NA
cs-en	18.3	30.8	7.6	7.6	13.0	23.5	16.0	NA
fr-en	17.2	30.0	16.4	8.0	14.5	16.9	16.7	NA
lt-en	17.6	35.2	9.5	6.9	16.2	NA	16.3	NA
ro-en	18.3	29.6	8.1	8.0	14.1	16.8	15.9	NA
mean	17.1	28.4	9.4	8.1	15.0	18.4	16.8	NA
