modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-fr	75.2	79.6	72.9	72.6	73.9	68.7	78.9	82.4
xglm-label-trim	en-fr	79.2	83.7	73.7	75.2	76.7	69.7	81.2	84.7
xglm-keywords10-seen500-trim	en-fr	80.4	84.2	76.1	75.7	77.3	69.8	81.7	NA
xglm-topic3shot-seen500-trim	en-fr	81.2	85.4	77.9	75.9	77.3	70.2	81.3	NA
xglm-rand-label-trim	en-fr	78.8	83.3	73.9	74.8	76.7	69.4	81.0	84.5
verbose-base-trim	en-fr	78.4	83.0	73.5	73.7	76.2	70.9	80.7	82.7
xglm-keywords30-seen500-trim	en-fr	80.2	84.6	75.7	75.7	77.6	69.8	81.4	NA
xglm-rand-keywords10-seen500-trim	en-fr	79.7	84.0	75.8	75.5	77.3	69.8	81.6	NA
xglm-rand-keywords10-seen-all-trim	en-fr	80.1	84.3	75.4	75.4	77.4	69.9	81.7	NA
xglm-rand-topic3shot-seen500-trim	en-fr	81.2	85.3	77.8	75.9	77.3	70.2	81.3	NA
xglm-rand-3shot-seen-all-trim	en-fr	80.0	84.5	76.0	75.2	76.8	69.5	81.0	NA
xglm-bm25-3shot-seen-all-trim	en-fr	78.9	84.0	74.5	74.4	76.3	68.6	80.1	NA
xglm-sentsim-3shot-seen-all-trim	en-fr	79.6	85.0	76.4	74.5	76.3	69.2	80.3	NA
xglm-topic1shot-seen500-trim	en-fr	80.1	85.2	75.4	75.2	76.1	69.8	80.6	NA
xglm-topic5shot-seen500-trim	en-fr	80.9	85.5	78.2	75.9	77.4	70.3	81.9	NA
xglm-topic3shot-seen200-trim	en-fr	80.6	85.2	76.5	74.8	77.6	70.2	80.8	85.5
xglm-topic3shot-seen1000-trim	en-fr	80.8	85.4	77.5	75.4	77.4	70.1	81.0	NA
xglm-bm25-3shot-langs-trim	en-fr	82.4	87.0	79.1	75.9	77.9	75.6	81.5	NA
xglm-sentsim-3shot-langs-trim	en-fr	82.3	86.5	79.3	75.6	77.5	74.7	81.7	NA
xglm-topic3shot-lang500-trim	en-fr	81.3	86.2	78.7	75.8	77.5	71.5	81.6	NA
xglm-topic3shot-domain200-trim	en-fr	80.8	85.0	77.6	75.5	77.4	70.7	82.2	NA
xglm-domain3shot-all-trim	en-fr	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-fr	81.3	85.4	77.6	76.2	78.1	70.7	81.8	NA
xglm-rand-topic3shot-seen200-trim	en-fr	80.5	84.9	75.7	75.1	76.7	69.7	81.4	85.6
