lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	NA	NA	74.6	73.8	72.9	66.1	NA	NA
en-de	NA	NA	NA	NA	NA	NA	79.8	NA
en-fi	71.7	79.0	71.6	75.0	78.2	NA	79.8	NA
en-fr	79.7	83.9	75.4	75.1	77.3	69.7	81.7	NA
en-lt	47.2	44.5	60.3	51.0	44.9	NA	43.8	NA
en-ro	74.0	84.2	73.6	75.2	76.2	66.6	80.2	NA
en-ta	NA	NA	45.1	47.9	37.2	29.8	38.2	NA
cs-en	82.9	82.4	79.3	77.4	79.0	66.6	81.8	NA
fr-en	83.0	84.8	79.7	79.4	81.5	73.0	85.2	NA
lt-en	64.8	65.0	60.7	55.8	58.5	NA	60.8	NA
ro-en	82.0	84.0	78.1	79.8	80.5	66.4	84.3	NA
mean	73.2	76.0	69.8	69.0	68.6	62.6	71.6	NA
