modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	fr-en	17.3	31.4	15.5	7.9	14.6	17.1	16.8	12.1
xglm-label-trim	fr-en	16.6	30.1	14.5	7.8	14.3	17.3	16.6	NA
xglm-keywords10-seen500-trim	fr-en	17.0	30.4	15.3	8.0	14.5	17.2	16.8	NA
xglm-topic3shot-seen500-trim	fr-en	16.5	29.8	14.3	7.7	14.4	17.2	16.4	NA
xglm-rand-label-trim	fr-en	16.7	30.3	14.4	7.9	14.4	17.2	16.6	NA
verbose-base-trim	fr-en	17.2	29.7	15.0	7.9	14.3	17.7	16.5	NA
xglm-keywords30-seen500-trim	fr-en	17.6	31.2	15.5	7.9	14.5	17.3	16.7	NA
xglm-rand-keywords10-seen500-trim	fr-en	17.0	30.2	15.3	8.0	14.5	16.8	16.8	NA
xglm-rand-keywords10-seen-all-trim	fr-en	17.2	30.0	16.4	8.0	14.5	16.9	16.7	NA
xglm-rand-topic3shot-seen500-trim	fr-en	16.5	29.8	14.3	7.7	14.4	17.3	16.4	NA
xglm-rand-3shot-seen-all-trim	fr-en	19.1	30.1	15.6	8.1	15.2	16.7	17.6	NA
xglm-bm25-3shot-seen-all-trim	fr-en	19.1	30.2	15.6	8.1	15.2	16.7	17.6	NA
xglm-sentsim-3shot-seen-all-trim	fr-en	19.1	30.1	15.6	8.1	15.2	16.7	17.6	NA
xglm-topic1shot-seen500-trim	fr-en	16.0	29.8	14.8	7.8	14.4	17.1	16.6	NA
xglm-topic5shot-seen500-trim	fr-en	16.5	29.5	14.3	7.7	14.3	16.7	16.4	NA
xglm-topic3shot-seen200-trim	fr-en	16.8	29.9	14.3	7.7	14.3	17.2	16.6	11.9
xglm-topic3shot-seen1000-trim	fr-en	16.6	29.5	14.2	7.6	14.3	16.9	16.5	NA
xglm-bm25-3shot-langs-trim	fr-en	16.3	29.2	13.6	7.7	14.2	18.3	16.4	NA
xglm-sentsim-3shot-langs-trim	fr-en	16.3	29.4	13.9	7.8	14.2	18.2	16.5	NA
xglm-topic3shot-lang500-trim	fr-en	16.6	29.4	14.2	7.7	14.3	17.3	16.5	NA
xglm-topic3shot-domain200-trim	fr-en	16.7	29.6	14.3	7.7	14.2	17.5	16.5	NA
xglm-domain3shot-all-trim	fr-en	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	fr-en	16.7	29.5	14.4	7.8	14.2	NA	16.5	NA
xglm-rand-topic3shot-seen200-trim	fr-en	16.7	29.9	14.5	7.7	14.3	NA	16.6	NA
