modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-lt	54.7	45.9	59.9	52.0	47.8	NA	47.3	58.7
xglm-label-trim	en-lt	49.7	45.5	60.1	51.7	46.8	NA	44.0	59.2
xglm-keywords10-seen500-trim	en-lt	48.8	44.9	61.2	51.1	45.4	NA	43.8	NA
xglm-topic3shot-seen500-trim	en-lt	49.4	46.5	64.6	52.2	45.3	NA	44.8	NA
xglm-rand-label-trim	en-lt	49.6	45.8	59.4	51.9	46.3	NA	45.4	57.3
verbose-base-trim	en-lt	48.7	44.4	60.7	52.0	46.2	NA	44.9	55.9
xglm-keywords30-seen500-trim	en-lt	48.4	44.6	60.1	50.4	44.9	NA	43.5	NA
xglm-rand-keywords10-seen500-trim	en-lt	47.8	44.4	60.6	51.7	46.0	NA	44.0	NA
xglm-rand-keywords10-seen-all-trim	en-lt	46.9	44.6	60.8	51.5	45.3	NA	43.9	NA
xglm-rand-topic3shot-seen500-trim	en-lt	49.3	46.4	64.4	52.0	45.3	NA	44.8	NA
xglm-rand-3shot-seen-all-trim	en-lt	50.7	47.3	63.9	52.6	47.6	NA	45.7	NA
xglm-bm25-3shot-seen-all-trim	en-lt	51.3	47.1	62.7	51.8	46.9	NA	46.0	NA
xglm-sentsim-3shot-seen-all-trim	en-lt	55.0	51.5	65.2	54.2	48.2	NA	46.5	NA
xglm-topic1shot-seen500-trim	en-lt	47.8	46.0	62.0	51.7	45.2	NA	42.8	NA
xglm-topic5shot-seen500-trim	en-lt	50.4	46.9	64.5	52.0	45.5	NA	44.7	NA
xglm-topic3shot-seen200-trim	en-lt	50.9	46.9	63.8	52.5	45.4	NA	44.2	57.8
xglm-topic3shot-seen1000-trim	en-lt	51.3	46.9	64.6	51.7	45.6	NA	43.6	NA
xglm-bm25-3shot-langs-trim	en-lt	66.1	58.0	73.0	57.6	54.6	NA	52.3	NA
xglm-sentsim-3shot-langs-trim	en-lt	63.2	56.9	70.4	58.1	53.0	NA	52.1	NA
xglm-topic3shot-lang500-trim	en-lt	51.5	49.6	67.3	52.8	47.4	NA	45.0	NA
xglm-topic3shot-domain200-trim	en-lt	52.1	47.5	65.4	52.2	45.2	NA	44.3	NA
xglm-domain3shot-all-trim	en-lt	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-lt	50.3	46.8	65.8	52.0	46.1	NA	45.1	NA
xglm-rand-topic3shot-seen200-trim	en-lt	49.1	45.7	62.2	50.7	45.2	NA	43.2	57.7
