lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	67.8	65.3	50.5	66.0	65.3	56.5	73.2	NA
en-de	66.1	64.8	54.5	69.7	70.6	59.5	76.0	NA
en-fi	65.7	64.5	49.8	68.4	71.3	NA	76.6	NA
en-fr	67.5	65.1	52.9	68.8	68.7	54.7	77.5	NA
en-lt	43.7	39.5	44.8	46.6	43.0	NA	42.6	NA
en-ro	66.4	69.6	53.8	69.4	72.4	61.1	76.7	NA
en-ta	NA	NA	39.0	44.1	37.1	32.1	38.4	NA
cs-en	73.9	70.3	57.7	71.2	72.7	61.4	76.7	57.9
fr-en	67.8	68.0	61.5	71.4	73.2	65.4	75.1	67.5
lt-en	60.7	58.5	46.3	51.6	54.5	NA	56.7	50.8
ro-en	68.1	69.5	56.9	72.3	72.0	59.1	75.4	60.4
mean	64.8	63.5	51.6	63.6	63.7	56.2	67.7	59.1
