lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	14.8	24.1	6.0	7.0	11.8	16.8	14.6	NA
en-de	15.0	26.7	11.0	7.7	13.6	16.5	16.4	NA
en-fi	12.6	17.8	5.2	7.1	10.5	NA	12.3	NA
en-fr	18.2	28.6	14.2	8.8	15.6	16.9	18.0	NA
en-lt	16.8	29.5	6.2	9.9	23.6	NA	23.1	NA
en-ro	18.0	27.0	6.8	8.0	13.8	17.2	16.6	NA
en-ta	NA	NA	7.3	10.4	21.4	22.3	17.4	NA
cs-en	17.8	30.4	7.2	7.5	12.9	NA	15.7	NA
fr-en	16.5	29.6	14.5	7.6	14.3	NA	16.5	NA
lt-en	16.9	30.7	6.8	7.0	14.8	NA	16.0	NA
ro-en	18.0	29.4	7.3	7.8	14.0	NA	15.9	NA
mean	16.5	27.4	8.4	8.1	15.1	17.9	16.6	NA
