lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	68.1	67.6	52.5	66.6	66.5	57.7	72.1	55.3
en-de	65.8	65.9	53.9	69.4	70.4	60.1	75.6	61.7
en-fi	66.6	66.2	51.3	68.7	71.4	NA	76.5	54.9
en-fr	67.6	66.3	53.8	68.6	69.5	55.0	76.2	59.8
en-lt	42.4	40.0	44.1	47.6	42.2	NA	42.2	43.8
en-ro	65.7	69.9	51.3	68.7	71.6	61.6	75.3	59.4
en-ta	NA	NA	37.5	45.6	38.0	31.9	39.1	37.5
cs-en	73.2	70.0	54.9	69.4	71.8	62.0	75.1	NA
fr-en	70.8	68.6	60.0	68.5	71.0	64.5	73.8	NA
lt-en	57.8	55.9	44.1	49.0	52.6	NA	56.1	NA
ro-en	71.7	70.5	55.1	71.5	72.6	59.4	75.3	NA
mean	65.0	64.1	50.8	63.1	63.4	56.5	67.0	53.2
