lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	83.4	91.6	73.6	84.2	88.8	93.8	90.2	NA
en-de	83.8	93.8	72.2	93.8	92.6	96.0	94.2	NA
en-fi	77.2	84.6	73.0	88.2	88.4	NA	93.0	NA
en-fr	87.2	94.6	79.2	90.8	89.8	96.0	94.0	NA
en-lt	73.6	88.2	74.8	85.6	85.6	NA	87.4	NA
en-ro	85.6	96.4	72.8	89.8	94.4	96.2	94.8	NA
en-ta	NA	NA	76.4	94.0	72.8	94.8	93.6	NA
cs-en	0.6	4.2	5.2	4.8	2.6	0.6	2.2	NA
fr-en	2.8	3.8	3.6	6.2	4.0	1.6	3.0	NA
lt-en	1.0	0.4	2.4	4.0	1.0	NA	1.2	NA
ro-en	0.8	2.6	3.0	2.2	2.4	0.6	2.2	NA
mean	49.6	56.0	48.7	58.5	56.6	60.0	59.6	NA
