lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	87.0	92.6	72.0	91.2	93.0	99.0	96.2	75.6
en-de	90.4	97.4	82.2	98.4	98.2	99.0	99.2	89.8
en-fi	77.4	94.8	68.0	93.0	93.0	NA	97.2	62.4
en-fr	92.8	96.8	82.2	93.8	95.8	99.6	99.4	90.0
en-lt	75.2	92.2	68.8	91.8	91.2	NA	94.4	69.8
en-ro	89.0	98.0	71.0	91.4	96.4	97.4	97.8	79.2
en-ta	NA	NA	75.4	94.4	71.6	97.2	95.4	86.8
cs-en	98.0	98.8	88.0	98.4	99.0	NA	99.8	NA
fr-en	96.8	99.0	93.0	99.4	99.8	NA	99.6	NA
lt-en	92.0	93.6	81.8	95.2	97.6	NA	98.4	NA
ro-en	98.2	99.4	84.2	97.6	99.0	NA	100.0	NA
mean	89.7	96.3	78.8	95.0	94.1	98.4	97.9	79.1
