lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	15.3	24.1	7.9	6.8	12.4	17.3	14.6	NA
en-de	15.9	26.8	11.8	7.8	14.3	16.9	16.9	NA
en-fi	13.5	18.7	6.4	7.1	11.0	NA	12.3	NA
en-fr	18.0	28.5	14.3	8.5	15.2	17.3	17.8	NA
en-lt	16.0	31.0	6.2	8.6	21.9	NA	23.7	NA
en-ro	17.2	27.2	7.3	8.1	13.9	17.4	16.3	NA
en-ta	NA	NA	11.4	10.3	20.0	22.5	17.7	NA
cs-en	18.4	31.3	8.8	7.6	13.2	23.6	16.3	NA
fr-en	17.0	30.2	15.3	8.0	14.5	16.8	16.8	NA
lt-en	19.6	35.9	10.2	6.5	14.5	NA	16.6	NA
ro-en	18.2	29.9	7.8	8.0	14.1	16.4	16.0	NA
mean	16.9	28.4	9.8	7.9	15.0	18.5	16.8	NA
