lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	94.2	98.6	92.0	93.8	94.2	98.2	98.2	NA
en-de	97.4	98.8	93.4	99.0	98.6	99.0	99.6	NA
en-fi	94.0	98.4	91.4	95.6	97.2	NA	99.4	NA
en-fr	97.0	98.8	91.4	96.2	97.2	99.8	99.2	NA
en-lt	93.2	97.6	89.0	92.0	94.0	NA	95.8	NA
en-ro	97.4	99.8	86.8	92.6	97.0	99.0	99.0	NA
en-ta	NA	NA	94.8	97.4	90.0	99.2	99.4	NA
cs-en	97.8	99.4	93.8	98.6	99.8	99.8	99.6	NA
fr-en	98.2	99.6	94.8	99.2	99.8	100.0	99.6	NA
lt-en	96.6	98.6	85.6	96.4	97.6	NA	98.8	NA
ro-en	98.0	99.8	93.0	97.6	98.6	99.8	99.8	NA
mean	96.4	98.9	91.5	96.2	96.7	99.3	98.9	NA
