lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	75.2	86.6	68.6	69.4	78.0	89.0	76.2	NA
en-de	82.0	92.2	73.0	88.2	89.4	90.8	92.4	NA
en-fi	75.0	85.6	69.2	76.8	81.2	NA	86.6	NA
en-fr	82.8	94.2	75.0	89.0	90.6	93.0	92.6	NA
en-lt	65.2	80.6	63.4	76.6	72.8	NA	78.0	NA
en-ro	79.2	92.8	67.0	84.0	86.8	92.2	93.2	NA
en-ta	NA	NA	69.0	80.2	59.2	83.6	85.0	NA
cs-en	0.4	0.2	0.6	0.2	0.2	0.0	0.4	NA
fr-en	0.4	2.0	1.8	0.6	0.6	0.2	0.8	NA
lt-en	0.4	0.2	1.0	0.6	0.4	NA	1.0	NA
ro-en	0.0	0.6	1.4	1.4	1.0	0.0	1.8	NA
mean	46.1	53.5	44.5	51.5	50.9	56.1	55.3	NA
