lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	16.7	9.7	15.7	11.8	11.9	4.8	13.8	18.0
en-de	23.1	24.0	19.7	18.0	21.7	11.0	21.7	23.5
en-fi	12.7	9.3	12.8	5.9	11.4	NA	11.4	12.5
en-fr	29.5	36.0	27.6	22.7	28.6	12.0	30.4	34.2
en-lt	6.0	5.8	5.0	1.3	1.1	NA	1.3	6.4
en-ro	23.6	25.0	18.7	16.3	18.7	5.5	21.6	23.5
en-ta	NA	NA	0.9	0.6	0.5	0.0	0.1	1.9
cs-en	36.5	31.1	13.4	25.8	25.6	9.3	27.6	26.0
fr-en	41.6	39.5	39.1	28.8	35.0	17.1	34.9	30.0
lt-en	17.3	12.7	11.4	4.8	7.8	NA	8.3	9.4
ro-en	41.4	40.1	13.2	30.6	30.8	9.2	34.4	34.2
mean	24.8	23.3	16.1	15.1	17.6	8.6	18.7	20.0
