lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	15.7	24.8	6.5	7.2	12.2	17.0	14.5	NA
en-de	16.4	27.6	11.6	7.9	14.5	17.0	16.3	NA
en-fi	13.8	19.4	6.3	6.7	10.8	NA	12.0	NA
en-fr	18.5	29.6	15.4	8.6	16.1	17.6	18.0	NA
en-lt	17.1	28.6	5.8	9.6	21.6	NA	23.1	NA
en-ro	18.5	27.4	7.1	7.6	14.0	17.6	16.0	NA
en-ta	NA	NA	8.9	9.5	22.8	21.6	17.4	NA
cs-en	18.5	30.0	7.7	7.5	12.8	NA	15.9	NA
fr-en	16.8	30.1	15.2	7.7	14.5	NA	16.5	NA
lt-en	18.1	31.1	7.8	6.5	15.7	NA	15.6	NA
ro-en	18.1	29.7	7.5	7.9	13.9	NA	15.8	NA
mean	17.1	27.8	9.1	7.9	15.4	18.2	16.5	NA
