lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	80.7	85.3	80.1	73.8	74.9	66.2	77.5	NA
en-de	79.4	82.1	77.8	75.7	77.0	69.7	80.3	NA
en-fi	78.8	83.0	78.4	76.6	79.0	NA	80.3	NA
en-fr	81.3	85.2	77.6	75.6	77.6	70.0	81.4	NA
en-lt	50.3	46.7	64.5	52.5	45.6	NA	44.6	NA
en-ro	79.8	85.4	77.7	76.0	76.5	68.4	80.9	NA
en-ta	NA	NA	51.2	48.2	36.3	30.9	39.8	NA
cs-en	84.3	83.7	82.0	78.1	79.3	NA	81.8	NA
fr-en	83.9	86.2	81.7	79.8	81.8	NA	85.3	NA
lt-en	71.6	71.0	65.5	56.8	58.3	NA	59.9	NA
ro-en	83.1	85.0	80.4	79.4	80.4	NA	83.8	NA
mean	77.3	79.4	74.3	70.2	69.7	61.0	72.3	NA
