modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-ta	NA	NA	27.9	11.5	27.9	24.3	19.9	27.0
xglm-label-trim	en-ta	NA	NA	7.0	10.0	18.4	22.9	15.8	16.8
xglm-keywords10-seen500-trim	en-ta	NA	NA	11.7	10.5	19.7	22.5	18.1	NA
xglm-topic3shot-seen500-trim	en-ta	NA	NA	8.0	9.9	22.9	21.4	18.1	NA
xglm-rand-label-trim	en-ta	NA	NA	8.4	10.2	17.2	22.5	15.8	16.0
verbose-base-trim	en-ta	NA	NA	9.4	14.0	24.4	22.4	21.1	18.4
xglm-keywords30-seen500-trim	en-ta	NA	NA	12.4	12.6	20.1	22.6	17.9	NA
xglm-rand-keywords10-seen500-trim	en-ta	NA	NA	11.4	10.3	20.0	22.5	17.7	NA
xglm-rand-keywords10-seen-all-trim	en-ta	NA	NA	10.6	10.2	19.4	22.1	17.5	NA
xglm-rand-topic3shot-seen500-trim	en-ta	NA	NA	8.0	9.9	22.7	21.5	17.9	NA
xglm-rand-3shot-seen-all-trim	en-ta	NA	NA	7.8	9.8	22.9	21.0	17.4	NA
xglm-bm25-3shot-seen-all-trim	en-ta	NA	NA	7.6	10.2	25.0	22.1	17.5	NA
xglm-sentsim-3shot-seen-all-trim	en-ta	NA	NA	7.1	10.1	23.1	20.0	18.2	NA
xglm-topic1shot-seen500-trim	en-ta	NA	NA	8.6	10.0	21.0	22.0	17.5	NA
xglm-topic5shot-seen500-trim	en-ta	NA	NA	8.4	9.7	22.7	21.6	17.7	NA
xglm-topic3shot-seen200-trim	en-ta	NA	NA	8.3	10.8	22.6	21.6	18.7	16.7
xglm-topic3shot-seen1000-trim	en-ta	NA	NA	8.3	9.5	22.5	21.2	18.3	NA
xglm-bm25-3shot-langs-trim	en-ta	NA	NA	5.8	8.7	20.5	17.5	16.8	NA
xglm-sentsim-3shot-langs-trim	en-ta	NA	NA	7.8	8.6	22.2	19.2	18.3	NA
xglm-topic3shot-lang500-trim	en-ta	NA	NA	8.7	10.2	25.1	20.2	18.1	NA
xglm-topic3shot-domain200-trim	en-ta	NA	NA	7.7	9.9	24.0	21.7	16.5	NA
xglm-domain3shot-all-trim	en-ta	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-ta	NA	NA	8.4	10.5	23.0	22.0	18.4	NA
xglm-rand-topic3shot-seen200-trim	en-ta	NA	NA	9.1	10.9	22.7	21.7	18.2	16.5
