lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	1.5	4.4	1.2	3.0	2.7	0.9	4.6	2.5
en-de	5.3	5.8	2.4	8.0	7.7	6.0	10.7	4.8
en-fi	1.0	1.1	1.0	1.0	1.8	NA	1.9	1.4
en-fr	6.4	9.6	4.8	5.9	7.7	2.9	12.8	5.8
en-lt	0.7	1.2	0.4	0.3	0.3	NA	0.3	0.9
en-ro	1.9	5.9	1.3	4.7	5.0	1.4	7.3	4.2
en-ta	NA	NA	0.1	0.5	0.6	0.1	0.1	0.4
cs-en	19.9	22.8	6.3	23.2	22.0	7.9	27.0	16.5
fr-en	21.6	26.2	14.8	25.4	29.3	11.5	31.8	19.4
lt-en	6.3	8.6	1.8	3.6	6.3	NA	7.4	6.5
ro-en	22.5	25.5	5.6	23.2	27.0	9.7	32.4	20.1
mean	8.7	11.1	3.6	9.0	10.0	5.1	12.4	7.5
