lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	25.5	43.6	30.7	8.6	18.8	22.6	17.2	40.5
en-de	27.1	46.4	31.5	8.2	17.6	24.1	16.7	31.6
en-fi	27.5	33.7	30.1	9.1	16.6	NA	14.4	42.1
en-fr	32.3	45.0	33.4	10.5	20.4	28.7	18.0	30.8
en-lt	22.8	42.4	15.8	9.8	23.2	NA	22.7	30.9
en-ro	26.2	44.2	28.9	9.6	17.9	21.1	16.5	37.0
en-ta	NA	NA	29.6	10.6	24.2	23.7	16.2	26.7
cs-en	22.0	36.6	13.7	7.5	12.9	26.5	15.8	NA
fr-en	20.0	33.1	19.3	8.2	15.6	18.6	16.9	NA
lt-en	19.7	37.2	9.7	6.5	16.2	NA	16.1	NA
ro-en	21.5	32.2	13.9	7.9	14.7	16.8	17.1	NA
mean	24.5	39.4	23.3	8.8	18.0	22.8	17.1	34.2
