lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	16.3	25.3	7.3	6.6	12.7	16.4	15.1	NA
en-de	15.5	26.4	11.9	8.2	13.8	16.9	16.3	NA
en-fi	13.3	19.0	7.0	6.7	10.8	NA	12.9	NA
en-fr	18.7	28.7	15.0	8.7	15.2	17.3	18.0	NA
en-lt	17.4	31.1	6.8	7.7	21.2	NA	22.7	NA
en-ro	18.1	27.0	7.2	8.0	14.2	17.3	16.5	NA
en-ta	NA	NA	12.2	10.3	19.9	23.1	17.2	NA
cs-en	18.4	31.8	8.5	7.5	13.1	NA	15.9	NA
fr-en	17.1	30.6	15.8	7.9	14.5	NA	16.8	NA
lt-en	17.5	33.8	8.8	6.4	14.0	NA	15.8	NA
ro-en	18.4	29.7	8.0	7.9	14.0	NA	15.8	NA
mean	17.1	28.3	9.9	7.8	14.9	18.2	16.6	NA
