lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	14.4	24.4	6.2	6.9	11.4	16.6	14.3	NA
en-de	15.3	26.4	11.0	8.0	13.9	16.4	16.6	NA
en-fi	12.0	18.0	5.4	7.2	10.3	NA	12.1	NA
en-fr	17.8	28.7	14.3	8.5	15.2	17.0	17.8	NA
en-lt	15.3	28.3	5.8	10.2	21.8	NA	24.7	NA
en-ro	16.6	27.9	6.4	8.3	14.2	17.8	16.0	NA
en-ta	NA	NA	8.6	10.0	21.0	22.0	17.5	NA
cs-en	17.8	30.1	7.8	7.6	13.1	21.6	15.9	NA
fr-en	16.0	29.8	14.8	7.8	14.4	17.1	16.6	NA
lt-en	16.4	31.2	7.1	6.7	14.6	NA	15.3	NA
ro-en	17.4	29.4	7.3	7.9	14.0	16.9	15.8	NA
mean	15.9	27.4	8.6	8.1	14.9	18.2	16.6	NA
