lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	94.4	97.2	86.8	91.0	94.8	97.4	98.4	NA
en-de	95.2	97.2	91.6	99.0	97.0	96.0	98.4	NA
en-fi	94.4	97.4	86.8	94.4	96.4	NA	98.0	NA
en-fr	93.0	96.4	86.8	94.0	96.4	96.6	98.8	NA
en-lt	92.4	95.2	85.8	91.6	93.8	NA	95.2	NA
en-ro	97.0	99.8	85.4	93.6	97.4	99.0	98.8	NA
en-ta	NA	NA	91.4	97.4	95.0	99.4	98.6	NA
cs-en	93.0	90.6	88.8	97.0	97.6	NA	98.6	NA
fr-en	95.0	96.0	90.4	97.4	97.2	NA	99.0	NA
lt-en	88.8	86.8	85.2	95.0	94.6	NA	92.8	NA
ro-en	96.0	95.2	85.6	97.2	98.4	NA	99.0	NA
mean	93.9	95.2	87.7	95.2	96.2	97.7	97.8	NA
