lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	49.8	52.4	43.6	62.3	60.3	47.0	65.2	50.7
en-de	61.7	56.9	51.6	68.0	67.3	63.3	72.3	64.0
en-fi	50.4	46.6	44.2	61.1	61.5	NA	63.8	49.1
en-fr	61.3	60.8	48.0	65.4	64.6	52.4	72.3	60.1
en-lt	42.9	38.5	41.4	46.2	42.5	NA	43.0	43.0
en-ro	48.9	55.5	45.4	66.0	64.0	50.6	69.1	54.6
en-ta	NA	NA	34.2	44.4	34.7	31.4	37.7	34.4
cs-en	75.7	75.3	64.1	70.5	72.5	64.0	76.6	67.0
fr-en	75.3	77.5	67.6	73.3	75.8	69.4	80.3	76.3
lt-en	58.4	58.9	48.7	51.3	54.4	NA	56.6	55.5
ro-en	74.6	76.9	62.9	72.4	74.6	64.4	79.2	69.0
mean	59.9	59.9	50.2	61.9	61.1	55.3	65.1	56.7
