lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	31.6	30.9	29.7	12.5	17.7	21.4	18.0	NA
en-de	33.9	35.3	27.1	18.8	23.2	23.1	23.5	NA
en-fi	24.7	25.7	26.9	9.2	19.3	NA	18.2	NA
en-fr	39.9	43.9	39.8	23.0	31.4	34.3	30.8	NA
en-lt	15.9	14.0	17.8	2.7	6.5	NA	7.4	NA
en-ro	36.7	35.6	30.1	19.9	19.5	28.9	22.4	NA
en-ta	NA	NA	6.6	3.9	4.9	25.1	6.2	NA
cs-en	44.7	44.6	38.9	26.6	28.9	16.8	30.0	NA
fr-en	47.9	50.3	45.1	29.3	36.0	17.7	36.8	NA
lt-en	27.8	28.5	27.4	9.8	16.8	NA	18.9	NA
ro-en	48.3	49.9	40.8	33.0	32.8	14.2	38.4	NA
mean	35.1	35.9	30.0	17.2	21.5	22.7	22.8	NA
