lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	96.4	99.0	90.4	93.2	96.2	99.0	98.2	NA
en-de	98.0	99.8	93.4	99.2	98.6	99.4	99.6	NA
en-fi	96.4	97.8	93.0	96.4	96.6	NA	98.4	NA
en-fr	96.2	99.2	91.2	95.8	97.6	99.6	99.2	NA
en-lt	94.4	97.2	91.8	93.8	94.4	NA	96.4	NA
en-ro	96.6	99.6	89.2	93.6	97.6	99.4	99.0	NA
en-ta	NA	NA	95.0	98.2	93.6	98.8	99.4	NA
cs-en	98.2	99.2	95.8	97.4	99.6	NA	99.8	NA
fr-en	98.2	99.4	97.2	99.2	99.6	NA	99.8	NA
lt-en	95.4	97.6	88.6	94.4	98.8	NA	98.4	NA
ro-en	98.2	100.0	91.2	98.0	99.2	NA	100.0	NA
mean	96.8	98.9	92.4	96.3	97.4	99.2	98.9	NA
