modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-ro	66.5	79.2	70.9	74.1	72.5	65.7	77.1	73.4
xglm-label-trim	en-ro	73.9	84.2	71.2	74.9	75.2	67.2	79.6	76.6
xglm-keywords10-seen500-trim	en-ro	76.7	84.3	74.8	75.9	76.5	67.2	80.4	NA
xglm-topic3shot-seen500-trim	en-ro	80.1	85.9	77.8	75.9	76.6	68.2	80.7	NA
xglm-rand-label-trim	en-ro	72.1	82.9	71.6	74.4	75.5	66.5	80.1	76.2
verbose-base-trim	en-ro	78.4	83.9	72.7	75.7	76.7	69.8	81.9	77.3
xglm-keywords30-seen500-trim	en-ro	77.1	84.9	74.7	75.7	77.2	68.1	81.4	NA
xglm-rand-keywords10-seen500-trim	en-ro	75.4	84.7	73.0	75.6	76.4	67.3	80.0	NA
xglm-rand-keywords10-seen-all-trim	en-ro	75.4	84.3	73.7	75.9	76.4	67.4	80.1	NA
xglm-rand-topic3shot-seen500-trim	en-ro	80.0	85.8	77.7	75.9	76.6	68.3	80.8	NA
xglm-rand-3shot-seen-all-trim	en-ro	78.1	84.9	75.7	76.2	76.9	68.1	80.4	NA
xglm-bm25-3shot-seen-all-trim	en-ro	76.7	83.2	74.4	74.5	74.8	66.3	79.3	NA
xglm-sentsim-3shot-seen-all-trim	en-ro	77.5	84.7	76.4	75.2	75.9	67.3	80.4	NA
xglm-topic1shot-seen500-trim	en-ro	78.5	84.6	75.5	74.7	75.5	67.6	80.1	NA
xglm-topic5shot-seen500-trim	en-ro	80.4	85.8	78.3	76.1	77.1	68.9	81.2	NA
xglm-topic3shot-seen200-trim	en-ro	79.8	85.7	76.4	76.0	76.8	68.6	80.7	80.2
xglm-topic3shot-seen1000-trim	en-ro	79.8	85.8	77.0	75.9	76.6	68.4	80.1	NA
xglm-bm25-3shot-langs-trim	en-ro	83.7	87.7	80.4	77.2	78.1	75.2	82.3	NA
xglm-sentsim-3shot-langs-trim	en-ro	83.5	87.6	79.9	78.2	78.3	74.0	82.7	NA
xglm-topic3shot-lang500-trim	en-ro	81.3	86.9	79.1	77.2	78.2	71.1	81.9	NA
xglm-topic3shot-domain200-trim	en-ro	79.8	86.2	77.8	75.4	77.4	68.5	82.1	NA
xglm-domain3shot-all-trim	en-ro	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-ro	80.4	86.0	78.2	78.0	78.0	69.1	82.1	NA
xglm-rand-topic3shot-seen200-trim	en-ro	79.2	85.0	76.0	75.5	76.9	67.6	80.8	79.8
