lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	15.6	24.2	6.1	7.1	11.3	16.5	13.8	NA
en-de	15.6	26.3	11.2	7.9	13.8	17.0	16.4	NA
en-fi	13.4	17.9	5.5	6.1	10.1	NA	11.9	NA
en-fr	18.6	28.8	15.1	8.8	15.4	16.7	18.2	NA
en-lt	15.4	27.3	6.2	7.5	15.9	NA	17.5	NA
en-ro	18.3	26.8	6.9	7.6	14.0	16.6	16.2	NA
en-ta	NA	NA	5.8	8.7	21.3	17.5	16.8	NA
cs-en	17.7	30.0	7.1	7.5	12.9	22.4	15.9	NA
fr-en	16.5	29.2	13.7	7.7	14.2	18.3	16.4	NA
lt-en	17.2	30.4	6.5	7.2	15.6	NA	16.0	NA
ro-en	17.7	29.6	7.0	7.9	14.0	18.6	15.8	NA
mean	16.6	27.1	8.3	7.6	14.4	18.0	15.9	NA
