lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	93.4	98.2	87.4	93.8	93.8	96.8	98.2	NA
en-de	95.0	94.8	91.0	98.2	95.8	91.0	99.6	NA
en-fi	93.0	97.0	87.0	95.4	95.8	NA	99.4	NA
en-fr	95.6	94.4	87.4	94.6	95.4	87.0	99.0	NA
en-lt	92.6	96.8	87.6	92.0	93.8	NA	95.8	NA
en-ro	96.2	99.2	84.8	92.6	97.0	98.4	99.0	NA
en-ta	NA	NA	93.0	97.4	91.0	99.0	99.4	NA
cs-en	97.6	99.4	93.8	98.6	99.8	99.8	99.6	NA
fr-en	98.4	99.6	95.0	99.2	99.8	100.0	99.6	NA
lt-en	96.6	98.2	86.0	96.4	97.6	NA	98.8	NA
ro-en	98.0	99.8	92.8	97.6	98.6	99.8	99.8	NA
mean	95.6	97.7	89.6	96.0	96.2	96.5	98.9	NA
