lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	20.7	24.7	25.8	11.7	15.8	5.5	15.7	NA
en-de	28.0	29.2	23.1	18.4	23.1	12.7	22.8	NA
en-fi	14.5	11.1	23.0	7.9	14.7	NA	14.3	NA
en-fr	34.1	37.4	36.1	24.1	31.2	14.5	30.9	NA
en-lt	7.1	7.8	9.2	1.0	1.4	NA	1.9	NA
en-ro	29.5	29.7	21.7	17.8	19.0	7.0	22.3	NA
en-ta	NA	NA	NA	NA	NA	NA	NA	NA
cs-en	38.4	41.1	31.7	27.6	27.7	NA	29.1	NA
fr-en	39.3	46.9	40.2	28.1	35.9	NA	35.9	NA
lt-en	18.9	22.5	15.6	7.9	10.8	NA	12.5	NA
ro-en	43.4	45.9	27.2	31.6	31.8	NA	37.1	NA
mean	27.4	29.6	25.4	17.6	21.1	9.9	22.2	NA
